学校名称,位置,院校隶属,是否有研究生院,是否自划线,是否双一流,图标链接,url
中华女子学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/11149.jpg,/sch/schoolInfo--schId-499721515.dhtml
北京信息科技大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/11232.jpg,/sch/schoolInfo--schId-367922.dhtml
中国矿业大学(北京),,北京,0,0,1,https://t1.chei.com.cn/common/xh/11413.jpg,/sch/schoolInfo--schId-367923.dhtml
中国石油大学(北京),,北京,0,0,1,https://t1.chei.com.cn/common/xh/11414.jpg,/sch/schoolInfo--schId-367916.dhtml
中国地质大学(北京),,北京,0,0,1,https://t1.chei.com.cn/common/xh/11415.jpg,/sch/schoolInfo--schId-367925.dhtml
北京联合大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/11417.jpg,/sch/schoolInfo--schId-679184.dhtml
北京城市学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/11418.jpg,/sch/schoolInfo--schId-302973928.dhtml
中国青年政治学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/11625.jpg,/sch/schoolInfo--schId-367926.dhtml
中国劳动关系学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/12453.jpg,/sch/schoolInfo--schId-499721412.dhtml
中国科学院大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/14430.jpg,/sch/schoolInfo--schId-367929.dhtml
中国社会科学院大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/14596.jpg,/sch/schoolInfo--schId-367930.dhtml
长江商学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/16402.jpg,/sch/schoolInfo--schId-1719522069.dhtml
中共中央党校(国家行政学院),,北京,1,1,0,https://t1.chei.com.cn/common/xh/80000.jpg,/sch/schoolInfo--schId-367928.dhtml
北京国家会计学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/80401.jpg,/sch/schoolInfo--schId-219704506.dhtml
中国科学技术信息研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/80901.jpg,/sch/schoolInfo--schId-367931.dhtml
中国财政科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/81601.jpg,/sch/schoolInfo--schId-367933.dhtml
商务部国际贸易经济合作研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82001.jpg,/sch/schoolInfo--schId-367918.dhtml
中国农业科学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82101.jpg,/sch/schoolInfo--schId-367905.dhtml
中国兽医药品监察所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82110.jpg,/sch/schoolInfo--schId-367898.dhtml
中国林业科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82201.jpg,/sch/schoolInfo--schId-367899.dhtml
中国水利水电科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82301.jpg,/sch/schoolInfo--schId-367900.dhtml
中国电力科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82302.jpg,/sch/schoolInfo--schId-367901.dhtml
中国建筑科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82401.jpg,/sch/schoolInfo--schId-367902.dhtml
中国城市规划设计研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82402.jpg,/sch/schoolInfo--schId-367903.dhtml
中国建筑设计研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82403.jpg,/sch/schoolInfo--schId-367904.dhtml
中国环境科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82405.jpg,/sch/schoolInfo--schId-367907.dhtml
中国地质科学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82501.jpg,/sch/schoolInfo--schId-367906.dhtml
钢铁研究总院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82601.jpg,/sch/schoolInfo--schId-367917.dhtml
中冶集团建筑研究总院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82602.jpg,/sch/schoolInfo--schId-367908.dhtml
冶金自动化研究设计院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82605.jpg,/sch/schoolInfo--schId-367909.dhtml
机械科学研究总院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82701.jpg,/sch/schoolInfo--schId-367910.dhtml
北京机械工业自动化研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82702.jpg,/sch/schoolInfo--schId-367911.dhtml
北京机电研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82703.jpg,/sch/schoolInfo--schId-367912.dhtml
中国农业机械化科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82715.jpg,/sch/schoolInfo--schId-367913.dhtml
中国原子能科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82801.jpg,/sch/schoolInfo--schId-367850.dhtml
核工业第二研究设计院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82803.jpg,/sch/schoolInfo--schId-367914.dhtml
核工业北京地质研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82806.jpg,/sch/schoolInfo--schId-367857.dhtml
核工业北京化工冶金研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82807.jpg,/sch/schoolInfo--schId-367869.dhtml
中国工程物理研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82817.jpg,/sch/schoolInfo--schId-367848.dhtml
中国航空研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82901.jpg,/sch/schoolInfo--schId-679452.dhtml
中国航空研究院(北京航空精密机械研究所),,北京,1,1,0,https://t1.chei.com.cn/common/xh/82902.jpg,/sch/schoolInfo--schId-367798.dhtml
中国航空研究院(北京航空材料研究院),,北京,1,1,0,https://t1.chei.com.cn/common/xh/82913.jpg,/sch/schoolInfo--schId-367799.dhtml
中国航空研究院(625所),,北京,1,1,0,https://t1.chei.com.cn/common/xh/82914.jpg,/sch/schoolInfo--schId-367800.dhtml
中国航空规划设计研究总院有限公司,,北京,1,1,0,https://t1.chei.com.cn/common/xh/82920.jpg,/sch/schoolInfo--schId-367801.dhtml
中国航空研究院(628所),,北京,1,1,0,https://t1.chei.com.cn/common/xh/82931.jpg,/sch/schoolInfo--schId-367802.dhtml
中国航空研究院(北京长城计量测试技术研究所),,北京,1,1,0,https://t1.chei.com.cn/common/xh/82932.jpg,/sch/schoolInfo--schId-367795.dhtml
中国电子科技集团公司电子科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83000.jpg,/sch/schoolInfo--schId-683178.dhtml
华北计算机系统工程研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83001.jpg,/sch/schoolInfo--schId-367805.dhtml
中国兵器科学研究院(中国北方车辆研究所),,北京,1,1,0,https://t1.chei.com.cn/common/xh/83107.jpg,/sch/schoolInfo--schId-367809.dhtml
中国运载火箭技术研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83201.jpg,/sch/schoolInfo--schId-367811.dhtml
中国航天科工集团第二研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83221.jpg,/sch/schoolInfo--schId-367812.dhtml
中国航天系统科学与工程研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83232.jpg,/sch/schoolInfo--schId-367813.dhtml
中国航天科工集团第三研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83241.jpg,/sch/schoolInfo--schId-367814.dhtml
中国空间技术研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83266.jpg,/sch/schoolInfo--schId-367815.dhtml
中国航天空气动力技术研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83277.jpg,/sch/schoolInfo--schId-367807.dhtml
煤炭科学研究总院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83301.jpg,/sch/schoolInfo--schId-788359951.dhtml
中国石油勘探开发研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83401.jpg,/sch/schoolInfo--schId-367781.dhtml
北京化工研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83501.jpg,/sch/schoolInfo--schId-367782.dhtml
北京橡胶工业研究设计院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83504.jpg,/sch/schoolInfo--schId-367783.dhtml
北京市科学技术研究院资源环境研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83702.jpg,/sch/schoolInfo--schId-367784.dhtml
中国食品发酵工业研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83705.jpg,/sch/schoolInfo--schId-367785.dhtml
中国制浆造纸研究院有限公司,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83706.jpg,/sch/schoolInfo--schId-367780.dhtml
中国铁道科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83801.jpg,/sch/schoolInfo--schId-367787.dhtml
交通运输部公路科学研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/83902.jpg,/sch/schoolInfo--schId-367788.dhtml
电信科学技术研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84001.jpg,/sch/schoolInfo--schId-367789.dhtml
中国艺术研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84201.jpg,/sch/schoolInfo--schId-367790.dhtml
中国电影艺术研究中心,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84202.jpg,/sch/schoolInfo--schId-679519.dhtml
中国疾病预防控制中心,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84501.jpg,/sch/schoolInfo--schId-367796.dhtml
中国中医科学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84502.jpg,/sch/schoolInfo--schId-367792.dhtml
中国食品药品检定研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84503.jpg,/sch/schoolInfo--schId-367779.dhtml
北京生物制品研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84504.jpg,/sch/schoolInfo--schId-367793.dhtml
中日友好临床医学研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84508.jpg,/sch/schoolInfo--schId-367816.dhtml
卫生部北京老年医学研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84512.jpg,/sch/schoolInfo--schId-367847.dhtml
国家体育总局体育科学研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84601.jpg,/sch/schoolInfo--schId-2107934856.dhtml
中国建筑材料科学研究总院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/84901.jpg,/sch/schoolInfo--schId-367838.dhtml
中国气象科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/85101.jpg,/sch/schoolInfo--schId-367839.dhtml
国家海洋环境预报中心,,北京,1,1,0,https://t1.chei.com.cn/common/xh/85304.jpg,/sch/schoolInfo--schId-367840.dhtml
中国地震局地球物理研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/85401.jpg,/sch/schoolInfo--schId-367841.dhtml
中国地震局地质研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/85402.jpg,/sch/schoolInfo--schId-367842.dhtml
中国地震局地震预测研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/85405.jpg,/sch/schoolInfo--schId-367843.dhtml
应急管理部国家自然灾害防治研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/85407.jpg,/sch/schoolInfo--schId-367844.dhtml
中国计量科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/85801.jpg,/sch/schoolInfo--schId-367856.dhtml
中国测绘科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/86001.jpg,/sch/schoolInfo--schId-367846.dhtml
中国舰船研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/86201.jpg,/sch/schoolInfo--schId-50084393.dhtml
中国石油化工股份有限公司石油化工科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/86301.jpg,/sch/schoolInfo--schId-367837.dhtml
北京矿冶研究总院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/86402.jpg,/sch/schoolInfo--schId-367818.dhtml
北京有色金属研究总院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/86403.jpg,/sch/schoolInfo--schId-367849.dhtml
北京市科学技术研究院城市安全与环境科学研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/87102.jpg,/sch/schoolInfo--schId-367803.dhtml
北京市生态环境保护科学研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/87103.jpg,/sch/schoolInfo--schId-367851.dhtml
北京市心肺血管疾病研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/87110.jpg,/sch/schoolInfo--schId-367852.dhtml
北京市市政工程研究院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/87111.jpg,/sch/schoolInfo--schId-367853.dhtml
北京市结核病胸部肿瘤研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/87112.jpg,/sch/schoolInfo--schId-367854.dhtml
北京市创伤骨科研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/87113.jpg,/sch/schoolInfo--schId-367855.dhtml
首都儿科研究所,,北京,1,1,0,https://t1.chei.com.cn/common/xh/87120.jpg,/sch/schoolInfo--schId-367825.dhtml
中共北京市委党校,,北京,1,1,0,https://t1.chei.com.cn/common/xh/89611.jpg,/sch/schoolInfo--schId-367845.dhtml
中央社会主义学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/89953.jpg,/sch/schoolInfo--schId-3092428604.dhtml
国防大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/91001.jpg,/sch/schoolInfo--schId-367819.dhtml
